CellID,N,Mean_gExc_Stat,Mean_gInh_Stat,gExc_Phase0,gInh_Phase0
Cell 1 (C),32,0.00682708,0.0605708,0.0751309,0.341094
Cell 1 (V),24,0.00684695,0.157555,0.0938904,0.24804
Cell 2 (C),27,0.00429527,0.12189,0.0505683,0.0174367
Cell 2 (V),20,0.013947,0.455117,0.285167,0.360987
Cell 3 (C),110,0.00284233,0.0236357,0.045581,-1.07104e-16
Cell 3 (V),42,0.00398226,0.0535463,0.0379671,0.106686
Cell 4 (C),23,0.0200042,0.13905,0.0699055,0.0759046
Cell 4 (V),13,0.0404691,0.277024,0.0538974,0.131267
Cell 5 (C),22,0.00619017,0.282102,0.0696262,0.197375
Cell 5 (V),34,0.00975439,0.0617492,0.0848909,0.0355568
Cell 6 (C),101,0.00748867,0.0700712,0.283483,0.264458
Cell 6 (V),64,0.0100301,0.0894681,0.159149,0.65212
Cell 7 (V),38,0.0115463,0.134695,0.187336,0.170128
Cell 8 (C),133,0.00542276,0.266215,0.301624,0.107451
Cell 8 (V),76,0.00459875,0.120566,0.319374,0.0744545
Cell 9 (C),98,0.00788582,0.377607,0.372109,0.46226
Cell 9 (V),124,0.00733943,0.129803,0.311629,0.252716
